CodeValue,ShortDescription,Description,Namespace
Delaware Nation,Delaware Nation,"Delaware Nation, Oklahoma",uri://ed-fi.org/TribalAffiliationDescriptor
Delaware Tribe,Delaware Tribe,Delaware Tribe of Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Diomede,Diomede,Native Village of Diomede (aka Inalik),uri://ed-fi.org/TribalAffiliationDescriptor
Dot Lake,Dot Lake,Village of Dot Lake,uri://ed-fi.org/TribalAffiliationDescriptor
Douglas,Douglas,Douglas Indian Association,uri://ed-fi.org/TribalAffiliationDescriptor
Dry Creek,Dry Creek,"Dry Creek Rancheria Band of Pomo Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Duckwater,Duckwater,"Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Eagle,Eagle,Native Village of Eagle,uri://ed-fi.org/TribalAffiliationDescriptor
Eastern Cherokee,Eastern Cherokee,Eastern Band of Cherokee Indians,uri://ed-fi.org/TribalAffiliationDescriptor
Eastern Shawnee,Eastern Shawnee,Eastern Shawnee Tribe of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Eastern Shoshone,Eastern Shoshone,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",uri://ed-fi.org/TribalAffiliationDescriptor
Eek,Eek,Native Village of Eek,uri://ed-fi.org/TribalAffiliationDescriptor
Egegik,Egegik,Egegik Village,uri://ed-fi.org/TribalAffiliationDescriptor
Eklutna,Eklutna,Eklutna Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Ekuk,Ekuk,Native Village of Ekuk,uri://ed-fi.org/TribalAffiliationDescriptor
Ekwok,Ekwok,Native Village of Ekwok,uri://ed-fi.org/TribalAffiliationDescriptor
Elem,Elem,"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Elim IRA,Elim IRA,Native Village of Elim,uri://ed-fi.org/TribalAffiliationDescriptor
Elk Valley,Elk Valley,"Elk Valley Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Ely Shoshone,Ely Shoshone,Ely Shoshone Tribe of Nevada,uri://ed-fi.org/TribalAffiliationDescriptor
Emmonak,Emmonak,Emmonak Village,uri://ed-fi.org/TribalAffiliationDescriptor
Enterprise,Enterprise,Enterprise Rancheria of Maidu Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Evansville,Evansville,Evansville Village (aka Bettles Field),uri://ed-fi.org/TribalAffiliationDescriptor
Ewiiaapaayp,Ewiiaapaayp,"Ewiiaapaayp Band of Kumeyaay Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Eyak,Eyak,Native Village of Eyak (Cordova),uri://ed-fi.org/TribalAffiliationDescriptor
False Pass,False Pass,Native Village of False Pass,uri://ed-fi.org/TribalAffiliationDescriptor
Federated Indians of Graton,Federated Indians of Graton,"Federated Indians of Graton Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Flandreau,Flandreau,Flandreau Santee Sioux Tribe of South Dakota,uri://ed-fi.org/TribalAffiliationDescriptor
Fond du Lac,Fond du Lac,Minnesota Chippewa Tribe - Fond du Lac Band,uri://ed-fi.org/TribalAffiliationDescriptor
Forest County,Forest County,"Forest County Potawatomi Community, Wisconsin",uri://ed-fi.org/TribalAffiliationDescriptor
Fort Bidwell,Fort Bidwell,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,uri://ed-fi.org/TribalAffiliationDescriptor
Fort Independence,Fort Independence,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Fort McDermitt,Fort McDermitt,"Fort McDermitt Paiute and Shoshone Tribes of the Fort McDermitt Indian Reservation, Nevada and Oregon",uri://ed-fi.org/TribalAffiliationDescriptor
Fort McDowell,Fort McDowell,"Fort McDowell Yavapai Nation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Fort Mojave,Fort Mojave,"Fort Mojave Indian Tribe of Arizona, California & Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Fort Sill,Fort Sill,Fort Sill Apache Tribe of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Fort Yukon,Fort Yukon,Native Village of Fort Yukon,uri://ed-fi.org/TribalAffiliationDescriptor
Gakona,Gakona,Native Village of Gakona,uri://ed-fi.org/TribalAffiliationDescriptor
Galena,Galena,Galena Village (aka Louden Village),uri://ed-fi.org/TribalAffiliationDescriptor
