CodeValue,ShortDescription,Description,Namespace
Squaxin,Squaxin,Squaxin Island Tribe of the Squaxin Island Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
St. Croix,St. Croix,St. Croix Chippewa Indians of Wisconsin,uri://ed-fi.org/TribalAffiliationDescriptor
St. George,St. George,Saint George Island,uri://ed-fi.org/TribalAffiliationDescriptor
St. Michael IRA,St. Michael IRA,Native Village of Saint Michael,uri://ed-fi.org/TribalAffiliationDescriptor
Standing Rock,Standing Rock,Standing Rock Sioux Tribe of North & South Dakota,uri://ed-fi.org/TribalAffiliationDescriptor
Stebbins,Stebbins,Stebbins Community Association,uri://ed-fi.org/TribalAffiliationDescriptor
Stevens Village,Stevens Village,Native Village of Stevens,uri://ed-fi.org/TribalAffiliationDescriptor
Stillaguamish,Stillaguamish,Stillaguamish Tribe of Indians of Washington,uri://ed-fi.org/TribalAffiliationDescriptor
Stockbridge,Stockbridge,"Stockbridge Munsee Community, Wisconsin",uri://ed-fi.org/TribalAffiliationDescriptor
Stony River,Stony River,Village of Stony River,uri://ed-fi.org/TribalAffiliationDescriptor
Summit Lake,Summit Lake,Summit Lake Paiute Tribe of Nevada,uri://ed-fi.org/TribalAffiliationDescriptor
Sun'aq,Sun'aq,Sun'aq Tribe of Kodiak,uri://ed-fi.org/TribalAffiliationDescriptor
Suquamish,Suquamish,Suquamish Indian Tribe of the Port Madison Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Susanville,Susanville,"Susanville Indian Rancheria, California",uri://ed-fi.org/TribalAffiliationDescriptor
Swinomish,Swinomish,Swinomish Indian Tribal Community,uri://ed-fi.org/TribalAffiliationDescriptor
Sycuan,Sycuan,Sycuan Band of the Kumeyaay Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Table Mountain,Table Mountain,Table Mountain Rancheria of California,uri://ed-fi.org/TribalAffiliationDescriptor
Takotna,Takotna,Takotna Village,uri://ed-fi.org/TribalAffiliationDescriptor
Tanacross,Tanacross,Native Village of Tanacross,uri://ed-fi.org/TribalAffiliationDescriptor
Tanana,Tanana,Native Village of Tanana,uri://ed-fi.org/TribalAffiliationDescriptor
Tangirnaq,Tangirnaq,Tangirnaq Native Village (aka Woody Island),uri://ed-fi.org/TribalAffiliationDescriptor
Tatitlek,Tatitlek,Native Village of Tatitlek,uri://ed-fi.org/TribalAffiliationDescriptor
Tazlina,Tazlina,Native Village of Tazlina,uri://ed-fi.org/TribalAffiliationDescriptor
Tejon,Tejon,Tejon Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Telida,Telida,Telida Village,uri://ed-fi.org/TribalAffiliationDescriptor
Teller,Teller,Native Village of Teller,uri://ed-fi.org/TribalAffiliationDescriptor
Te-Moak,Te-Moak,Te-Moak Tribe of Western Shoshone Indians of Nevada (Four constituent bands: Battle Mountain Band; Elko Band; South Fork Band and Wells Band),uri://ed-fi.org/TribalAffiliationDescriptor
Tetlin,Tetlin,Native Village of Tetlin,uri://ed-fi.org/TribalAffiliationDescriptor
Thlopthlocco,Thlopthlocco,Thlopthlocco Tribal Town,uri://ed-fi.org/TribalAffiliationDescriptor
Three Affiliated,Three Affiliated,"Three Affiliated Tribes of the Fort Berthold Reservation, ND",uri://ed-fi.org/TribalAffiliationDescriptor
Timbi-sha Shoshone,Timbi-sha Shoshone,Death Valley Timbi-sha Shoshone Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Tlingit & Haida,Tlingit & Haida,Central Council of the Tlingit & Haida Indian Tribes of Alaska,uri://ed-fi.org/TribalAffiliationDescriptor
Togiak,Togiak,Traditional Village of Togiak,uri://ed-fi.org/TribalAffiliationDescriptor
Tohono O'odham,Tohono O'odham,Tohono O'odham Nation of Arizona,uri://ed-fi.org/TribalAffiliationDescriptor
Tolowa Dee-Ni',Tolowa Dee-Ni',Tolowa Dee-Ni' Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Tonawanda,Tonawanda,Tonawanda Band of Seneca,uri://ed-fi.org/TribalAffiliationDescriptor
Tonkawa,Tonkawa,Tonkawa Tribe of Indians of Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Tonto Apache,Tonto Apache,Tonto Apache Tribe of Arizona,uri://ed-fi.org/TribalAffiliationDescriptor
Torres Martinez,Torres Martinez,"Torres Martinez Desert Cahuilla Indians, California",uri://ed-fi.org/TribalAffiliationDescriptor
Tulalip,Tulalip,Tulalip Tribes of Washington,uri://ed-fi.org/TribalAffiliationDescriptor
Tule River,Tule River,"Tule River Indian Tribe of the Tule River Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Tuluksak,Tuluksak,Tuluksak Native Community,uri://ed-fi.org/TribalAffiliationDescriptor
Tunica-Biloxi,Tunica-Biloxi,Tunica-Biloxi Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Tuntutuliak,Tuntutuliak,Native Village of Tuntutuliak,uri://ed-fi.org/TribalAffiliationDescriptor
Tununak,Tununak,Native Village of Tununak,uri://ed-fi.org/TribalAffiliationDescriptor
Tuolumne,Tuolumne,Tuolumne Band of Me-Wuk Indians of the Tuolumne Rancheria of California,uri://ed-fi.org/TribalAffiliationDescriptor
Turtle Mountain,Turtle Mountain,Turtle Mountain Band of Chippewa Indians of North Dakota,uri://ed-fi.org/TribalAffiliationDescriptor
Tuscarora,Tuscarora,Tuscarora Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Twenty-Nine Palms,Twenty-Nine Palms,Twenty-Nine Palms Band of Mission Indians of California,uri://ed-fi.org/TribalAffiliationDescriptor
Twin Hills,Twin Hills,Twin Hills Village,uri://ed-fi.org/TribalAffiliationDescriptor
Tyonek,Tyonek,Native Village of Tyonek,uri://ed-fi.org/TribalAffiliationDescriptor
Ugashik,Ugashik,Ugashik Village,uri://ed-fi.org/TribalAffiliationDescriptor
Umatilla Tribe,Umatilla Tribe,Confederated Tribes of the Umatilla Indian Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
Umkumiut,Umkumiut,Umkumiut Native Village,uri://ed-fi.org/TribalAffiliationDescriptor
Unalakleet,Unalakleet,Native Village of Unalakleet,uri://ed-fi.org/TribalAffiliationDescriptor
Unga,Unga,Native Village of Unga,uri://ed-fi.org/TribalAffiliationDescriptor
United Auburn,United Auburn,United Auburn Indian Community of the Auburn Rancheria of California,uri://ed-fi.org/TribalAffiliationDescriptor
United Keetoowah,United Keetoowah,United Keetoowah Band of Cherokee Indians in Oklahoma,uri://ed-fi.org/TribalAffiliationDescriptor
Upper Sioux,Upper Sioux,"Upper Sioux Community, Minnesota",uri://ed-fi.org/TribalAffiliationDescriptor
Upper Skagit,Upper Skagit,Upper Skagit Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Ute,Ute,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",uri://ed-fi.org/TribalAffiliationDescriptor
Ute Mountain,Ute Mountain,Ute Mountain Ute Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Venetie,Venetie,Village of Venetie,uri://ed-fi.org/TribalAffiliationDescriptor
Venetie IRA,Venetie IRA,Native Village of Venetie Tribal Government,uri://ed-fi.org/TribalAffiliationDescriptor
Viejas,Viejas,"Capitan Grande Band of Diegueno Mission Indians of California: Viejas (Barona Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Wainwright,Wainwright,Village of Wainwright,uri://ed-fi.org/TribalAffiliationDescriptor
Wales,Wales,Native Village of Wales,uri://ed-fi.org/TribalAffiliationDescriptor
Walker River,Walker River,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Wampanoag,Wampanoag,Wampanoag Tribe of Gay Head (Aquinnah),uri://ed-fi.org/TribalAffiliationDescriptor
Warms Springs Tribe,Warms Springs Tribe,Confederated Tribes of the Warm Springs Reservation of Oregon,uri://ed-fi.org/TribalAffiliationDescriptor
Washoe,Washoe,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",uri://ed-fi.org/TribalAffiliationDescriptor
White Earth,White Earth,Minnesota Chippewa Tribe - White Earth Band,uri://ed-fi.org/TribalAffiliationDescriptor
White Mountain,White Mountain,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
White Mountain AK,White Mountain AK,Native Village of White Mountain,uri://ed-fi.org/TribalAffiliationDescriptor
Wichita,Wichita,Wichita and Affiliated Tribes,uri://ed-fi.org/TribalAffiliationDescriptor
Wilton,Wilton,Wilton Rancheria,uri://ed-fi.org/TribalAffiliationDescriptor
Winnebago,Winnebago,Winnebago Tribe of Nebraska,uri://ed-fi.org/TribalAffiliationDescriptor
Winnemucca,Winnemucca,Winnemucca Indian Colony of Nevada,uri://ed-fi.org/TribalAffiliationDescriptor
Wiyot,Wiyot,"Wiyot Tribe, California",uri://ed-fi.org/TribalAffiliationDescriptor
Wrangell,Wrangell,Wrangell Cooperative Association,uri://ed-fi.org/TribalAffiliationDescriptor
Wyandotte,Wyandotte,Wyandotte Nation,uri://ed-fi.org/TribalAffiliationDescriptor
Yakutat,Yakutat,Yakutat Tlingit Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Yankton,Yankton,Yankton Sioux Tribe of South Dakota,uri://ed-fi.org/TribalAffiliationDescriptor
Yavapai-Apache,Yavapai-Apache,"Yavapai-Apache Nation of the Camp Verde Indian Reservation, Arizona",uri://ed-fi.org/TribalAffiliationDescriptor
Yavapai-Prescott,Yavapai-Prescott,Yavapai-Prescott Indian Tribe,uri://ed-fi.org/TribalAffiliationDescriptor
Yerington,Yerington,"Yerington Paiute Tribe of the Yerington Colony & Campbell Ranch, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Yocha Dehe,Yocha Dehe,"Yocha Dehe Wintun Nation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Yomba Shoshone,Yomba Shoshone,"Yomba Shoshone Tribe of the Yomba Reservation, Nevada",uri://ed-fi.org/TribalAffiliationDescriptor
Ysleta Del Sur,Ysleta Del Sur,Ysleta del Sur Pueblo,uri://ed-fi.org/TribalAffiliationDescriptor
Yurok,Yurok,"Yurok Tribe of the Yurok Reservation, California",uri://ed-fi.org/TribalAffiliationDescriptor
Zuni,Zuni,Zuni Tribe of the Zuni Reservation,uri://ed-fi.org/TribalAffiliationDescriptor
