CodeValue,ShortDescription,Description,Namespace
lua,Luba-Lulua,Luba-Lulua,uri://ed-fi.org/LanguageDescriptor
lug,Ganda,Ganda,uri://ed-fi.org/LanguageDescriptor
lun,Lunda,Lunda,uri://ed-fi.org/LanguageDescriptor
lus,Lushai,Lushai,uri://ed-fi.org/LanguageDescriptor
mad,Madurese,Madurese,uri://ed-fi.org/LanguageDescriptor
mah,Marshallese,Marshallese,uri://ed-fi.org/LanguageDescriptor
mak,Makasar,Makasar,uri://ed-fi.org/LanguageDescriptor
man,Mandingo,Mandingo,uri://ed-fi.org/LanguageDescriptor
map,Austronesian languages,Austronesian languages,uri://ed-fi.org/LanguageDescriptor
mas,Masai,Masai,uri://ed-fi.org/LanguageDescriptor
mdf,Moksha,Moksha,uri://ed-fi.org/LanguageDescriptor
men,Mende,Mende,uri://ed-fi.org/LanguageDescriptor
mis,Uncoded languages,Uncoded languages,uri://ed-fi.org/LanguageDescriptor
mlg,Malagasy,Malagasy,uri://ed-fi.org/LanguageDescriptor
mnc,Manchu,Manchu,uri://ed-fi.org/LanguageDescriptor
mno,Manobo languages,Manobo languages,uri://ed-fi.org/LanguageDescriptor
mon,Mongolian,Mongolian,uri://ed-fi.org/LanguageDescriptor
mul,Multiple languages,Multiple languages,uri://ed-fi.org/LanguageDescriptor
mus,Creek,Creek,uri://ed-fi.org/LanguageDescriptor
mwr,Marwari,Marwari,uri://ed-fi.org/LanguageDescriptor
myv,Erzya,Erzya,uri://ed-fi.org/LanguageDescriptor
nai,North American Indian languages,North American Indian languages,uri://ed-fi.org/LanguageDescriptor
nau,Nauru,Nauru,uri://ed-fi.org/LanguageDescriptor
ndo,Ndonga,Ndonga,uri://ed-fi.org/LanguageDescriptor
nep,Nepali,Nepali,uri://ed-fi.org/LanguageDescriptor
nia,Nias,Nias,uri://ed-fi.org/LanguageDescriptor
niu,Niuean,Niuean,uri://ed-fi.org/LanguageDescriptor
non,"""Norse, Old""","""Norse, Old""",uri://ed-fi.org/LanguageDescriptor
nqo,N'Ko,N'Ko,uri://ed-fi.org/LanguageDescriptor
nub,Nubian languages,Nubian languages,uri://ed-fi.org/LanguageDescriptor
nyn,Nyankole,Nyankole,uri://ed-fi.org/LanguageDescriptor
nzi,Nzima,Nzima,uri://ed-fi.org/LanguageDescriptor
oji,Ojibwa,Ojibwa,uri://ed-fi.org/LanguageDescriptor
orm,Oromo,Oromo,uri://ed-fi.org/LanguageDescriptor
oto,Otomian languages,Otomian languages,uri://ed-fi.org/LanguageDescriptor
pag,Pangasinan,Pangasinan,uri://ed-fi.org/LanguageDescriptor
pap,Papiamento,Papiamento,uri://ed-fi.org/LanguageDescriptor
peo,"""Persian, Old (ca.600-400 B.C.)""","""Persian, Old (ca.600-400 B.C.)""",uri://ed-fi.org/LanguageDescriptor
phi,Philippine languages,Philippine languages,uri://ed-fi.org/LanguageDescriptor
pli,Pali,Pali,uri://ed-fi.org/LanguageDescriptor
pon,Pohnpeian,Pohnpeian,uri://ed-fi.org/LanguageDescriptor
pra,Prakrit languages,Prakrit languages,uri://ed-fi.org/LanguageDescriptor
raj,Rajasthani,Rajasthani,uri://ed-fi.org/LanguageDescriptor
roh,Romansh,Romansh,uri://ed-fi.org/LanguageDescriptor
rum,Romanian,Romanian,uri://ed-fi.org/LanguageDescriptor
sad,Sandawe,Sandawe,uri://ed-fi.org/LanguageDescriptor
sah,Yakut,Yakut,uri://ed-fi.org/LanguageDescriptor
sal,Salishan languages,Salishan languages,uri://ed-fi.org/LanguageDescriptor
san,Sanskrit,Sanskrit,uri://ed-fi.org/LanguageDescriptor
sat,Santali,Santali,uri://ed-fi.org/LanguageDescriptor
sco,Scots,Scots,uri://ed-fi.org/LanguageDescriptor
sem,Semitic languages,Semitic languages,uri://ed-fi.org/LanguageDescriptor
sgn,Sign Languages,Sign Languages,uri://ed-fi.org/LanguageDescriptor
sid,Sidamo,Sidamo,uri://ed-fi.org/LanguageDescriptor
sio,Siouan languages,Siouan languages,uri://ed-fi.org/LanguageDescriptor
sla,Slavic languages,Slavic languages,uri://ed-fi.org/LanguageDescriptor
slv,Slovenian,Slovenian,uri://ed-fi.org/LanguageDescriptor
sme,Northern Sami,Northern Sami,uri://ed-fi.org/LanguageDescriptor
smj,Lule Sami,Lule Sami,uri://ed-fi.org/LanguageDescriptor
smo,Samoan,Samoan,uri://ed-fi.org/LanguageDescriptor
sna,Shona,Shona,uri://ed-fi.org/LanguageDescriptor
snk,Soninke,Soninke,uri://ed-fi.org/LanguageDescriptor
som,Somali,Somali,uri://ed-fi.org/LanguageDescriptor
sot,"""Sotho, Southern""","""Sotho, Southern""",uri://ed-fi.org/LanguageDescriptor
srd,Sardinian,Sardinian,uri://ed-fi.org/LanguageDescriptor
srp,Serbian,Serbian,uri://ed-fi.org/LanguageDescriptor
ssa,Nilo-Saharan languages,Nilo-Saharan languages,uri://ed-fi.org/LanguageDescriptor
suk,Sukuma,Sukuma,uri://ed-fi.org/LanguageDescriptor
sus,Susu,Susu,uri://ed-fi.org/LanguageDescriptor
swa,Swahili,Swahili,uri://ed-fi.org/LanguageDescriptor
syc,Classical Syriac,Classical Syriac,uri://ed-fi.org/LanguageDescriptor
tah,Tahitian,Tahitian,uri://ed-fi.org/LanguageDescriptor
tam,Tamil,Tamil,uri://ed-fi.org/LanguageDescriptor
tel,Telugu,Telugu,uri://ed-fi.org/LanguageDescriptor
ter,Tereno,Tereno,uri://ed-fi.org/LanguageDescriptor
tgk,Tajik,Tajik,uri://ed-fi.org/LanguageDescriptor
tha,Thai,Thai,uri://ed-fi.org/LanguageDescriptor
tig,Tigre,Tigre,uri://ed-fi.org/LanguageDescriptor
tiv,Tiv,Tiv,uri://ed-fi.org/LanguageDescriptor
tmh,Tamashek,Tamashek,uri://ed-fi.org/LanguageDescriptor
ton,Tonga (Tonga Islands),Tonga (Tonga Islands),uri://ed-fi.org/LanguageDescriptor
tsi,Tsimshian,Tsimshian,uri://ed-fi.org/LanguageDescriptor
tso,Tsonga,Tsonga,uri://ed-fi.org/LanguageDescriptor
tum,Tumbuka,Tumbuka,uri://ed-fi.org/LanguageDescriptor
tur,Turkish,Turkish,uri://ed-fi.org/LanguageDescriptor
tvl,Tuvalu,Tuvalu,uri://ed-fi.org/LanguageDescriptor
tyv,Tuvinian,Tuvinian,uri://ed-fi.org/LanguageDescriptor
uga,Ugaritic,Ugaritic,uri://ed-fi.org/LanguageDescriptor
ukr,Ukrainian,Ukrainian,uri://ed-fi.org/LanguageDescriptor
und,Undetermined,Undetermined,uri://ed-fi.org/LanguageDescriptor
uzb,Uzbek,Uzbek,uri://ed-fi.org/LanguageDescriptor
ven,Venda,Venda,uri://ed-fi.org/LanguageDescriptor
vol,Volapük,Volapük,uri://ed-fi.org/LanguageDescriptor
wak,Wakashan languages,Wakashan languages,uri://ed-fi.org/LanguageDescriptor
war,Waray,Waray,uri://ed-fi.org/LanguageDescriptor
wel,Welsh,Welsh,uri://ed-fi.org/LanguageDescriptor
wln,Walloon,Walloon,uri://ed-fi.org/LanguageDescriptor
yao,Yao,Yao,uri://ed-fi.org/LanguageDescriptor
yid,Yiddish,Yiddish,uri://ed-fi.org/LanguageDescriptor
ypk,Yupik languages,Yupik languages,uri://ed-fi.org/LanguageDescriptor
zgh,Standard Moroccan Tamazight,Standard Moroccan Tamazight,uri://ed-fi.org/LanguageDescriptor
znd,Zande languages,Zande languages,uri://ed-fi.org/LanguageDescriptor
zun,Zuni,Zuni,uri://ed-fi.org/LanguageDescriptor
abk,Abkhazian,Abkhazian,uri://ed-fi.org/LanguageDescriptor
ach,Acoli,Acoli,uri://ed-fi.org/LanguageDescriptor
afh,Afrihili,Afrihili,uri://ed-fi.org/LanguageDescriptor
ain,Ainu,Ainu,uri://ed-fi.org/LanguageDescriptor
akk,Akkadian,Akkadian,uri://ed-fi.org/LanguageDescriptor
ale,Aleut,Aleut,uri://ed-fi.org/LanguageDescriptor
alt,Southern Altai,Southern Altai,uri://ed-fi.org/LanguageDescriptor
ang,"""English, Old (ca.450-1100)""","""English, Old (ca.450-1100)""",uri://ed-fi.org/LanguageDescriptor
apa,Apache languages,Apache languages,uri://ed-fi.org/LanguageDescriptor
